what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1330465603744
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1330465603744
started,bundle,com.atlassian.connector.eclipse.branding.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.branding.ui",1330465603744
started,bundle,com.atlassian.connector.eclipse.commons.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.commons.ui",1330465603744
started,bundle,com.atlassian.connector.eclipse.jira.core,2.3.0.v20100901,"com.atlassian.connector.eclipse.jira.core",1330465603744
started,bundle,com.atlassian.connector.eclipse.jira.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.jira.ui",1330465603744
started,bundle,com.atlassian.connector.eclipse.monitor.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.monitor.ui",1330465603744
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1330465603744
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1330465603744
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1330465603744
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1330465603744
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1330465603760
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1330465603760
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1330465603760
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1330465603760
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1330465603760
started,bundle,org.eclipse.mylyn.trac.core,3.4.1.v20100709-0100-e3x,"org.eclipse.mylyn.trac.core",1330465603760
started,bundle,org.eclipse.mylyn.trac.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.trac.ui",1330465603760
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1330465603760
started,bundle,com.inflectra.spirateam.mylyn.core,3.0.0.201012151032,"com.inflectra.spirateam.mylyn.core",1330465603760
started,bundle,com.inflectra.spirateam.mylyn.ui,3.0.0.201012151032,"com.inflectra.spirateam.mylyn.ui",1330465603760
os,sysinfo,,,"win32",1330465603760
arch,sysinfo,,,"x86",1330465603760
ws,sysinfo,,,"win32",1330465603760
locale,sysinfo,,,"en_US",1330465603760
processors,sysinfo,,,"1",1330465603760
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330465603760
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1330465603760
java.specification.name,sysinfo,,,"Java Platform API Specification",1330465603760
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330465603760
java.specification.version,sysinfo,,,"1.6",1330465603760
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330465603760
java.version,sysinfo,,,"1.6.0_23",1330465603760
java.vm.info,sysinfo,,,"mixed mode, sharing",1330465603760
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1330465603760
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330465603760
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330465603760
java.vm.specification.version,sysinfo,,,"1.0",1330465603760
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330465603760
java.vm.version,sysinfo,,,"19.0-b09",1330465603760
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1330465604432
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1330465604447
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1330465604572
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1330465604666
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1330465605135
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330465605197
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330465609651
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1330465612651
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1330465612682
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1330465612729
opened,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1330465642542
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1330465642573
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.views.showView",1330465642589
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330465651964
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330465656371
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330465656527
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1330465656996
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1330465657261
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1330465657386
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1330465657465
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1330465657496
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1330465657574
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1330716243269
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1330716243269
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1330716243285
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1330716243285
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1330716243285
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1330716243285
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1330716243285
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1330716243285
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1330716243285
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1330716243285
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1330716243285
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1330716243285
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1330716243285
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1330716243285
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1330716243301
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1330716243301
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1330716243301
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1330716243301
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1330716243301
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1330716243301
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1330716243301
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1330716243301
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1330716243301
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1330716243301
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1330716243301
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1330716243301
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1330716243301
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1330716243301
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1330716243301
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1330716243316
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1330716243316
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1330716243316
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1330716243316
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1330716243316
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1330716243316
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1330716243316
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1330716243316
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1330716243316
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1330716243316
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1330716243316
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1330716243332
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1330716243332
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1330716243332
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1330716243332
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1330716243332
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1330716243348
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1330716243348
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1330716243348
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1330716243348
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1330716243348
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1330716243348
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1330716243348
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1330716243348
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1330716243348
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1330716243348
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1330716243363
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1330716243363
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1330716243363
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1330716243363
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1330716243363
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1330716243363
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1330716243363
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1330716243363
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1330716243363
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1330716243363
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1330716243363
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1330716243363
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1330716243379
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1330716243379
started,bundle,com.atlassian.connector.eclipse.branding.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.branding.ui",1330716243379
started,bundle,com.atlassian.connector.eclipse.commons.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.commons.ui",1330716243379
started,bundle,com.atlassian.connector.eclipse.jira.core,2.3.0.v20100901,"com.atlassian.connector.eclipse.jira.core",1330716243379
started,bundle,com.atlassian.connector.eclipse.jira.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.jira.ui",1330716243379
started,bundle,com.atlassian.connector.eclipse.monitor.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.monitor.ui",1330716243379
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1330716243379
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1330716243379
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1330716243379
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1330716243379
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1330716243379
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1330716243379
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1330716243379
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1330716243379
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1330716243379
started,bundle,org.eclipse.mylyn.trac.core,3.4.1.v20100709-0100-e3x,"org.eclipse.mylyn.trac.core",1330716243379
started,bundle,org.eclipse.mylyn.trac.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.trac.ui",1330716243379
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1330716243379
started,bundle,com.inflectra.spirateam.mylyn.core,3.0.0.201012151032,"com.inflectra.spirateam.mylyn.core",1330716243379
started,bundle,com.inflectra.spirateam.mylyn.ui,3.0.0.201012151032,"com.inflectra.spirateam.mylyn.ui",1330716243379
os,sysinfo,,,"win32",1330716243394
arch,sysinfo,,,"x86",1330716243394
ws,sysinfo,,,"win32",1330716243394
locale,sysinfo,,,"en_US",1330716243394
processors,sysinfo,,,"1",1330716243394
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330716243394
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1330716243394
java.specification.name,sysinfo,,,"Java Platform API Specification",1330716243394
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330716243394
java.specification.version,sysinfo,,,"1.6",1330716243394
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330716243394
java.version,sysinfo,,,"1.6.0_23",1330716243394
java.vm.info,sysinfo,,,"mixed mode, sharing",1330716243394
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1330716243394
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330716243394
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330716243394
java.vm.specification.version,sysinfo,,,"1.0",1330716243394
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330716243394
java.vm.version,sysinfo,,,"19.0-b09",1330716243394
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330716255018
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1330716255221
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1330716255456
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1330716255456
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1330716255456
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1330716255456
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1330716255456
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1330716255456
stopped,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1330716255456
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1330716255456
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1330716255456
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1330716255471
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1330716255471
